name	base	good	average	bad	terrible	check_type
Be Still	239	239	195	174	152	Late
Familiar Ground	217					Dirt
Free-Spirited	174	239	195	174	152	Long
Ignited Spirit STA	263					
Corner Recovery ○	217					
Straightaway Recovery	217					
Lay Low	217					
Pace Strategy	217					
Calm in a Crowd	217					
Stamina to Spare	195	239	195	174	152	Pace
Preferred Position	195	239	195	174	152	Pace
Standing By	174	239	195	174	152	End
Wait-and-See	174	239	195	174	152	Sprint
Watchful Eye	195	239	195	174	152	Mile
Rosy Outlook	239	239	195	174	152	Medium
Deep Breaths	174	239	195	174	152	Long
Extra Tank	217	239	195	174	152	Long
Soft Step	239	239	195	174	152	Medium
Passing Pro	174	239	195	174	152	Long
Moxie	152	239	195	174	152	Front
Hydrate	195	239	195	174	152	Pace
A Small Breather	239	239	195	174	152	Late
After-School Stroll	174	239	195	174	152	End
Levelheaded	174	239	195	174	152	End
Triple 7s	217					
Shake It Out	217					
