name	base	good	average	bad	terrible	check_type
Burning Spirit SPD	633												
Burning Spirit STA	633												
Burning Spirit PWR	633												
Burning Spirit GUT	633												
Burning Spirit WIT	633												
Runaway	259	407	333	296	259	Front							
Super Lucky Seven	334												
Fall Frenzy	461												
Spring Spectacle	461												
Right-Handed Demon	461												
Yodo Invicta	461												
Firm Course Menace	461												
Swinging Maestro	508												
Breath of Fresh Air	508												
Iron Will	508										
Indomitable	508												
Unruffled	508												
Calm and Collected	457	559	457	406	356	Pace							
Race Planner	457	559	457	406	356	Pace							
Sleeping Lion	406	559	457	406	356	End							
Keen Eye	457	559	457	406	356	Mile							
Trackblazer	559	559	457	406	356	Medium							
Cooldown	406	559	457	406	356	Long							
Adrenaline Rush	508	559	457	406	356	Long							
Miraculous Step	559	559	457	406	356	Medium							
Restless	356	559	457	406	356	Front							
Gourmand	457	559	457	406	356	Pace							
Relax	559	559	457	406	356	Late							
Go-Home Specialist	406	559	457	406	356	End							
Serenity	406	559	457	406	356	End							
Lie in Wait	559	559	457	406	356	Late							
VIP Pass	406	559	457	406	356	Long							
Of Calm Mind	406	559	457	406	356	Long							
Master of the Sands	508					Dirt							
Professor of Curvature	508												
Beeline Burst	508												
It's On!	508												
In Body and Mind	508												
Escape Artist	356	559	457	406	356	Front							
Speed Star	457	559	457	406	356	Pace							
Fast & Furious	559	559	457	406	356	Late							
Rising Dragon	559	559	457	406	356	Late							
Sturm und Drang	406	559	457	406	356	End							
Blinding Flash	406	559	457	406	356	Sprint							
Mile Maven	457	559	457	406	356	Mile							
Killer Tunes	559	559	457	406	356	Medium							
Unyielding	559	559	457	406	356	Medium							
Innate Experience	406	559	457	406	356	Long							
Staggering Lead	406	559	457	406	356	Sprint							
Changing Gears	457	559	457	406	356	Mile							
Big-Sisterly	301	367	301	267	234	Mile							
Vanguard Spirit	406	559	457	406	356	Long							
Overwhelming Pressure	406	559	457	406	356	Long							
15,000,000 CC	367	367	301	267	234	Late	
Trending in the Charts!	508					Dirt							
Corner Connoisseur	508												
Rushing Gale!	508												
No Stopping Me!	394												
Taking the Lead	234	367	301	267	234	Front							
Unrestrained	356	559	457	406	356	Front							
On Your Left!	559	559	457	406	356	Late							
Encroaching Shadow	406	559	457	406	356	End							
Turbo Sprint	406	559	457	406	356	Sprint							
Furious Feat	457	559	457	406	356	Mile							
Plan X	406	559	457	406	356	Sprint							
Step on the Gas!	457	559	457	406	356	Mile							
Technician	301	367	301	267	234	Pace							
Determined Descent	301	367	301	267	234	Pace							
Shatterproof	301	367	301	267	234	Pace	
Hard Worker	367	367	301	267	234	Late							
Center Stage	334												
Lane Legerdemain	334												
Perfect Prep!	315	433	355	315	276	Sprint							
Lightning Step	433	433	355	315	276	Medium	
Sixth Sense	234	367	301	267	234	Front							
Concentration	394												
Clairvoyance	367	367	301	267	234	Medium							
The Bigger Picture	367	367	301	267	234	Late							
The Coast Is Clear!	267	367	301	267	234	End							
Crusader	267	367	301	267	234	End							
Superstan	508												
Come What May	559	559	457	406	356	Medium							
Tail Nine	508												
Headliner	406	559	457	406	356	Long							
Daring Strike	406	559	457	406	356	End							
Nothing Ventured	334												
Flash Forward	559	559	457	406	356	Medium							
In High Spirits	406	559	457	406	356	Sprint							
Blast Forward	406	559	457	406	356	Long							
Top Runner	356	559	457	406	356	Front							
Burning Soul	559	559	457	406	356	Medium							
Elated	559	559	457	406	356	Medium							
Full of Vigor	457	559	457	406	356	Mile							
Dauntless	559	559	457	406	356	Late							
Wild Wind	559	559	457	406	356	Medium							
See Ya Later!	508												
Keep Going!	559	559	457	406	356	Late							
Moonlit Flash	406	559	457	406	356	End							
Refraction Arc	559	559	457	406	356	Medium							
From the Brink	559	559	457	406	356	Medium							
Neck and Neck	457	559	457	406	356	Pace							
Lead the Charge!	394					Dirt							
Radiant Star	633												
Best in Japan	406	559	457	406	356	Long							
Tantalizing Trick	508												
Dominator	559	559	457	406	356	Medium							
Petrifying Gaze	406	559	457	406	356	End							
Adored by All	406	559	457	406	356	Sprint							
Battle Formation	457	559	457	406	356	Mile							
Mystifying Murmur	559	559	457	406	356	Medium							
Stamina Siphon	369	507	415	369	323	Long							
All-Seeing Eyes	559	559	457	406	356	Late							
Illusionist	267	367	301	267	234	Long							
Dazzling Disorientation	301	367	301	267	234	Pace								
