name	base	good	average	bad	terrible	check_type
#LookatCurren	180					
A Kiss for Courage	180					
Anchors Aweigh!	180					
Angling and Scheming	180					
Behold Thine Emperor's Divine Might	180					
Blazing Pride	180					
Blue Rose Closer	180					
Certain Victory	180					
Condor's Fury	180					
Cut and Drive!	180					
Dazzl'n ♪ Diver	180					
Eternal Moments	180					
Flashy☆Landing	180					
Flowery☆Maneuver	180					
G00 1st. F∞;	180					
Genius x Bakushin = Victory	180					
I Never Goof Up!	180					
I See Victory in My Future!	180					
Just a Little Farther!	180					
KEEP IT REAL.	180					
Legacy of the Strong	180					
Let's Pump Some Iron!	180					
Lights of Vaudeville	180					
Nemesis	180					
Our Ticket to Win!	180					
Prideful King	180					
Pure Heart	180					
Red Shift/LP1211-M	180					
Resplendent Red Ace	180					
Shadow Break	180					
Shooting for Victory!	180					
Shooting Star	180					
Sky-High Teio Step	180					
SPARKLY☆STARDOM	180					
Super-Duper Climax	180					
Superior Heal	180					
The Duty of Dignity Calls	180					
The View from the Lead Is Mine!	180					
This Dance Is for Vittoria!	180					
Triumphant Pulse	180					
U=ma2	180					
Victoria por plancha ☆	180					
Where There's a Will, There's a Way	180					
You and Me! One-on-One!	180					
∴win Q.E.D.	180					
Schwarzes Schwert	180					
Bountiful Harvest	180					
YUMMY☆SPEED!	180					
OMG! (ﾟ∀ﾟ) The Final Sprint! ☆	180					
Give Mummy a Hug ♡	180					
Every Rose Has Its Fangs	180					
A Princess Must Seize Victory!	180					
Chasing After You	180					
Arrows Whistle, Shadows Disperse	180					
Dancing in the Leaves	180					
Pop & Polish	180					
Moving Past, and Beyond	180					
