name	base	good	average	bad	terrible	check_type
Chukyo Racecourse ×	-129					
Corner Acceleration ×	-262					
Corner Adept ×	-262					
Corner Recovery ×	-262					
Defeatist	-262					
Fall Runner ×	-129					
Firm Conditions ×	-129					
Fukushima Racecourse ×	-129					
G1 Averseness	-129					
Gatekept	-174					
Hakodate Racecourse ×	-129					
Hanshin Racecourse ×	-129					
Inner Post Averseness	-129					
Kokura Racecourse ×	-129					
Kyoto Racecourse ×	-129					
Left-Handed ×	-129					
Nakayama Racecourse ×	-129					
Niigata Racecourse ×	-129					
Non-Standard Distance ×	-129					
Oi Racecourse ×	-129					
Outer Post Averseness	-129					
Paddock Fright	-129					
Rainy Days ×	-129					
Right-Handed ×	-129					
Sapporo Racecourse ×	-129					
Spring Runner ×	-129					
Standard Distance ×	-129					
Summer Runner ×	-129					
Tokyo Racecourse ×	-129					
Wallflower	-129					
Wet Conditions ×	-129					
Winter Runner ×	-129					
